idMeal,Main Ingredient,Tags
52775,"[lasagna, lentils, zucchini, carrot]","[vegan, vegetarian, italian, pasta, lasagna, lentils, cheese,...]"
52835,"[Fettucine, Clotted cream, cream, parmesan]","[italian, vegetarian, pasta, parmesan, cheese, cream sauce]"
52796,"[Chicken, squash, mushrooms]","[pasta, chicken, mushroom, cheese, parmesan, italian] "
53014,"[yeast, flour, mozzarella, cheese, tomato purée]","[italian, vegetarian, pizza, cheese, tomato purée, flour, oven baked]"
52770,"[spaghetti, minced beef, tomatoes, onions] ","[italian, meat, pasta, beef, spaghetti, tomatoes]"
52823,"[rice, white wine, wine, prawns, salmon]","[pescatarian, italian, seafood, rice, salmon, prawns, wine]"
52982,"[spaghetti, bacon, eggs, pecorino, cheese]","[italian, pasta, meat, bacon, cheese, eggs, spaghetti]"
52771,"[penne, tomatoes, garlic, chili flakes]","[vegetarian, italian, pasta, penne, spicy, tomatoes, chili flakes]"
52773,"[salmon, soy sauce, sake]","[pescatarian, japanese, fish, salmon, pan fry, soy sauce, sake]"
53032,"[pork, pork chops, flour, eggs, breadcrumbs]","[japanese, meat, pork, pork chops, frying, tonkatsu, breading]"
52831,"[chicken, potato starch, ginger, soy sauce, sake]","[japanese, meat, chicken, frying, soy sauce, sake, potato starch]"
52871,"[udon, sesame oil, cabbage, spring onions]","[vegetarian, japanese, noodles, udon, sesame oil, cabbage, shiitake mushrooms, mushrooms, spring onions]"
52820,,
52785,"[toor dal, dal, turmeric, ghee, tomatoes, cumin seeds, mustard seeds]","[vegan, vegetarian, indian, curry, toor dal, dal, turmeric, ghee, tomatoes, cumin seeds, mustard seeds]"
52806,"[chicken, lemons, paprika, red onions, spices]","[indian, meat, chicken, spicy, lemons, paprika, red onions, ginger, garlic, garam masala, cumin, chili powder, turmeric]"
52868,"[tomatoes, kidney beans, ginger, coriander, spices]","[vegan, vegetarian, indian, curry, tomatoes, kidney beans, garlic, onions, ginger, coriander, cumin, garam masala, paprika]"
52865,"[paneer, tomatoes, ginger, turmeric, coriander, chili, spices]","[vegetarian, indian, curry, paneer, ginger, cumin, turmeric, coriander, chili, tomatoes, peas]"
52808,"[lamb, onion, tomato purée, greek yogurt, madras paste, spices]","[indian, meat, lamb, onion, garlic, ginger, paprika, cinnamon sticks, cardamom, cloves, madras paste, tomato purée, greek yogurt]"
52774,"[rice noodles, noodles, chicken, eggs, chinese broccoli, soy sauce]","[thai, meat, chicken, noodles, rice noodles, chinese broccoli]"
52814,"[curry paste, coconut milk, fish sauce, potatoes, chicken]","[thai, curry, meat, chicken, curry paste, coconut milk, potatoes, green beans, garlic]"
52827,"[beef, peanuts, curry paste, coconut cream, potatoes]","[thai, curry, rice, meat, beef, curry paste, coconut cream, potatoes]"
52945,"[chicken, sake, rice wine, soy sauce, sesame oil, corn flour]","[chinese, meat, chicken, sake, rice wine, soy sauce, nuts]"
52948,"[wonton skins, pork, celery, spring onions, carrots]","[chinese, dumplings, wonton, wonton skins, meat, pork, main dish]"
52955,"[chicken stock, egg, peas]","[chinese, soup, chicken stock, peas, mushrooms, spring onions]"
52949,,
52956,"[chicken, rice, ginger, ginger juice]","[chinese, soup, rice, chicken, ginger, spring onions, coriander]"
52830,,
52780,"[chickpeas, tortillas, avocado, paprika, tomatoes, red onions, red wine vinegar]","[vegetarian, mexican, fajitas, chickpeas, pickling, tomatoes, red onions, avocadoes]"
52765,"[enchilada sauce, chicken, cheese, tortillas]","[mexican, meat, chicken, casserole, enchilada sauce, cheese, tortillas]"
52819,"[white fish, fish fillets, tortilla, cajun, cayenne pepper, avocado, salsa]","[pescatarian, mexican, fish, spicy, tacos, tortillas]"
52826,,
52813,"[chicken, eggs, flour, brown sugar, spices]","[american, meat, chicken, frying, breading]"
52829,"[macaroni, bread, cheese, milk, heavy cream]","[american, dairy, cheese, macaroni, bread, sandwich, milk, heavy cream]"
53013,"[minced beef, burger buns, lettuce, cheese, onion]","[american, meat, beef, burgers, minced beef, onion, lettuce, pickles]"
52854,"[flour, eggs, milk]","[breakfast, sweet, dessert, american, dairy, flour, eggs, milk]"
52993,"[chicken, potatoes, broccoli]","[american, meat, chicken, oven baked, potatoes, broccoli]"
52903,"[onion, beef stock, white wine, bread]","[french, soup, onion, beef stock, garlic, bread, cheese]"
52908,"[aubergine, eggplant, courgette, zucchini, yellow peppers, peppers, tomatoes, red wine vinegar]","[french, vegetarian, vegan, aubergine, eggplant, courgettes, zucchini, yellow peppers, pepper, tomatoes]"
52915,"[eggs, butter, parmesan, cheese]","[french, omelette, egg, butter, parmesan, cheese, chives]"
52914,"[potatoes, onions, vegetable stock]","[french, side dish, vegetarian, potatoes, onion, thyme, vegetable stock]"
52815,"[lentils, carrots, garlic, thyme]","[french, vegetarian, vegan, lentils, carrots, garlic, thyme, onions, celery]"
